Name,Last,High,Low,Chg.,Change%,Vol.,Time,Ticker
Boeing,180.88,185.80,180.11,-5.27,-2.83%,7.86M,16:00:09,BA
General Motors,47.89,47.91,46.76,0.09,0.19%,5.8M,16:00:09,GM
Chevron,158.79,158.95,157.07,1.56,0.99%,6.26M,16:00:09,CVX
Citigroup,81.34,84.06,80.94,-2.6,-3.10%,15.16M,16:00:09,C
Bank of America,45.30,46.19,45.04,-0.71,-1.54%,40M,16:00:09,BAC
AT&T,26.15,26.28,25.94,-0.09,-0.34%,32.75M,16:00:09,T
Caterpillar,349.15,356.85,347.45,-3.85,-1.09%,2.17M,16:00:09,CAT
Intel,26.09,26.12,24.48,0.37,1.44%,144.94M,16:00:09,INTC
Microsoft,416.13,419.31,412.54,1.36,0.33%,23.51M,16:00:09,MSFT
Ford Motor,9.39,9.40,9.28,0.05,0.54%,39.79M,16:00:09,F
eBay,69.46,69.57,68.39,0.14,0.20%,2.91M,16:00:09,EBAY
Dell Tech,119.89,121.21,116.77,-1.07,-0.88%,5.48M,16:00:09,DELL
Walt Disney,110.55,111.52,109.38,-0.8,-0.72%,5.97M,16:00:09,DIS
Dow,39.59,39.61,38.93,0.67,1.72%,5.75M,16:00:09,DOW
Cisco,64.67,65.23,64.27,-0.17,-0.26%,14.84M,16:00:09,CSCO
Deere&Company,495.79,509.26,493.11,-13.48,-2.65%,1.51M,16:00:09,DE
FedEx,268.46,268.85,265.09,1.59,0.60%,707.12K,16:00:09,FDX
General Mills,59.19,59.23,57.59,1.2,2.07%,2.95M,16:00:09,GIS
Corning,51.87,52.48,51.08,-0.8,-1.52%,4.07M,16:00:09,GLW
Goldman Sachs,642.26,670.28,631.66,-25.89,-3.87%,3.93M,16:00:09,GS
JPMorgan,266.80,278.74,265.74,-12.45,-4.46%,13.85M,16:00:09,JPM
Kimberly-Clark,138.97,139.75,136.52,1.04,0.75%,2.13M,16:00:09,KMB
Kraft Heinz,30.16,30.25,29.81,0.37,1.24%,8.64M,16:00:09,KHC
Coca-Cola,70.04,70.07,69.42,-0.03,-0.04%,13.4M,16:00:09,KO
McDonald’s,303.05,303.13,298.15,1.11,0.37%,3.02M,16:00:09,MCD
Eli Lilly,873.12,880.32,864.00,6.07,0.70%,2.99M,16:00:09,LLY
Oracle,176.00,180.27,174.43,-5.52,-3.04%,8.74M,16:00:09,ORCL
Merck&Co,87.68,87.70,85.90,2.08,2.43%,14.85M,16:00:09,MRK
Motorola,434.51,439.52,430.16,-4.57,-1.04%,988.41K,16:00:09,MSI
3M,149.08,150.09,148.04,-1.12,-0.75%,2.23M,16:00:09,MMM
Vertex,480.33,481.18,472.80,8.57,1.82%,1.58M,16:00:09,VRTX
Monster Beverage,51.21,51.79,51.00,-0.48,-0.93%,7.03M,16:00:09,MNST
Fifth Third,43.61,44.38,43.24,-0.74,-1.67%,3.46M,16:00:09,FITB
Cintas,205.93,207.22,204.63,-2.21,-1.06%,1.34M,16:00:09,CTAS
Autodesk,291.02,298.93,289.89,-8.04,-2.69%,1.58M,16:00:09,ADSK
Gilead,110.03,110.11,107.43,2.38,2.21%,7.68M,16:00:09,GILD
Alphabet A,184.56,185.31,182.72,-0.71,-0.38%,20.44M,16:00:09,GOOGL
Fiserv,234.43,238.00,234.02,-1.91,-0.81%,3.69M,16:00:09,FISV
Adobe,454.69,461.00,451.57,-2.3,-0.50%,2.34M,16:00:09,ADBE
Qualcomm,173.70,176.39,172.90,-1.52,-0.87%,6.32M,16:00:09,QCOM
Warner Bros Discovery,11.04,11.11,10.80,0.15,1.38%,29.54M,16:00:09,WBD
Applied Materials,176.01,178.37,174.50,1.95,1.12%,6.69M,16:00:09,AMAT
Steel Dynamics,135.07,139.20,134.98,-1.69,-1.24%,1.34M,16:00:09,STLD
Cadence Design,270.23,277.63,268.71,-3.81,-1.39%,3.62M,16:00:09,CDNS
Microchip,64.30,65.34,63.25,0.71,1.12%,14.63M,16:00:09,MCHP
Wynn Resorts,93.47,94.20,91.97,1.21,1.31%,3.41M,16:00:09,WYNN
Intuitive Surgical,606.57,608.17,597.77,-1.91,-0.31%,1.33M,16:00:09,ISRG
Nasdaq Inc,82.54,82.69,81.53,-0.05,-0.06%,1.79M,16:00:09,NDAQ
Henry Schein,78.05,78.69,77.38,0.22,0.28%,1.1M,16:00:09,HSIC
Paychex,150.26,150.66,149.35,0.22,0.15%,1.36M,16:00:09,PAYX
VeriSign,233.88,234.28,230.78,2.15,0.93%,795.06K,16:00:09,VRSN
Apple,245.83,246.78,244.29,0.96,0.39%,32.32M,16:00:09,AAPL
Fastenal,75.14,75.87,74.52,-0.43,-0.57%,2.3M,16:00:09,FAST
Northern Trust,113.53,114.19,111.75,-0.22,-0.19%,1.95M,16:00:09,NTRS
CH Robinson,100.42,100.58,98.09,1.4,1.41%,1.09M,16:00:09,CHRW
PACCAR,106.46,106.75,105.55,-0.75,-0.70%,1.8M,16:00:09,PCAR
Amazon.com,222.88,225.13,221.81,-3.75,-1.65%,30M,16:00:09,AMZN
Ross Stores,139.09,139.67,137.12,-0.64,-0.46%,2.44M,16:00:09,ROST
NetApp,124.55,125.49,121.87,0.02,0.02%,1.5M,16:00:09,NTAP
Garmin,229.01,240.64,226.25,-12.92,-5.34%,1.64M,16:00:09,GRMN
Costco,"1,034.83","1,053.64","1,033.85",-27.71,-2.61%,2M,16:00:09,COST
Lam Research,89.02,91.72,88.56,1.36,1.55%,16.89M,16:00:09,LRCX
Intuit,579.08,586.10,573.39,-3.11,-0.53%,2.7M,16:00:09,INTU
Expedia,205.14,206.78,201.05,-1.38,-0.67%,1.46M,16:00:09,EXPE
Cognizant A,87.54,88.13,86.94,-0.89,-1.01%,2.91M,16:00:09,CTSH
Akamai,98.03,100.66,97.22,-2.23,-2.22%,3.07M,16:00:09,AKAM
KLA Corp,777.63,794.00,771.01,2.88,0.37%,883.66K,16:00:09,KLAC
Juniper,36.07,36.16,35.95,0.03,0.08%,1.61M,16:00:09,JNPR
Amgen,297.93,298.13,293.93,3.66,1.24%,2.32M,16:00:09,AMGN
Expeditors Washington,117.26,117.71,115.55,0.99,0.85%,1.17M,16:00:09,EXPD
Electronic Arts,129.99,131.13,129.29,0.65,0.50%,3.82M,16:00:09,EA
T Rowe,108.49,109.03,107.69,0.13,0.12%,1.16M,16:00:09,TROW
Biogen,137.08,138.94,136.52,0.4,0.29%,2.06M,16:00:09,BIIB
Charles Schwab,81.83,82.17,80.76,-0.18,-0.22%,9.36M,16:00:09,SCHW
Huntington Bancshares,16.42,16.89,16.34,-0.41,-2.44%,19.21M,16:00:09,HBAN
Gen Digital,27.32,27.46,26.88,-0.18,-0.65%,2.37M,16:00:09,GEN
NVIDIA,140.11,140.66,136.79,0.88,0.63%,143.9M,16:00:09,NVDA
Starbucks,113.34,113.50,111.96,0.85,0.76%,6.34M,16:00:09,SBUX
Cincinnati Financial,135.77,135.93,133.66,-0.66,-0.48%,603.48K,16:00:09,CINF
Axon Enterprise,541.81,584.00,521.66,-51.61,-8.70%,2.51M,16:00:09,AXON
Hologic,64.32,65.18,64.15,0.12,0.19%,1.95M,16:00:09,HOLX
Comcast,36.41,36.72,36.09,-0.07,-0.19%,25.85M,16:00:09,CMCSA
Medtronic,87.94,88.27,86.35,0.94,1.08%,5.8M,16:00:09,MDT
Dover,206.43,207.28,203.25,1.55,0.76%,1.11M,16:00:09,DOV
Northrop Grumman,438.11,439.00,426.24,4.66,1.08%,1.22M,16:00:09,NOC
MGM,38.30,38.45,37.83,-0.04,-0.10%,3.23M,16:00:09,MGM
Mastercard,563.28,568.50,559.04,-5.22,-0.92%,2.18M,16:00:09,MA
General Dynamics,246.20,247.28,242.34,2.02,0.83%,1.57M,16:00:09,GD
DTE Energy,131.18,131.84,128.27,0.8,0.61%,1.51M,16:00:09,DTE
Analog Devices,243.82,247.10,242.55,2.16,0.89%,5.89M,16:00:09,ADI
Cardinal Health,127.38,127.62,126.01,0.63,0.50%,2.06M,16:00:09,CAH
Xcel Energy,69.32,69.44,68.20,0.25,0.36%,1.88M,16:00:09,XEL
DR Horton,128.68,129.32,126.02,1.85,1.46%,3.27M,16:00:09,DHI
IPG,27.56,27.76,27.26,0.01,0.04%,5.5M,16:00:09,IPG
Lockheed Martin,436.29,438.00,429.31,3.34,0.77%,1.36M,16:00:09,LMT
Waters,380.81,385.00,379.35,2.84,0.75%,311.47K,16:00:09,WAT
Accenture,384.84,390.00,384.25,-5.38,-1.38%,2.25M,16:00:09,ACN
Dominion Energy,56.32,56.64,55.28,0.65,1.17%,4.13M,16:00:09,D
Exxon Mobil,112.00,112.42,109.95,1.7,1.54%,16.33M,16:00:09,XOM
Cigna,299.68,301.66,296.19,2.45,0.82%,1.27M,16:00:09,CI
Public Service Enterprise,84.67,86.18,84.34,-1.13,-1.32%,2.21M,16:00:09,PEG
NiSource,39.98,40.10,39.66,-0.12,-0.30%,3.16M,16:00:09,NI
Zimmer Biomet,103.63,104.14,102.79,0.29,0.28%,1.37M,16:00:09,ZBH
CSX,32.46,32.55,32.12,0.05,0.15%,11.7M,16:00:09,CSX
ICE,166.79,167.48,165.83,-0.17,-0.10%,1.64M,16:00:09,ICE
Southwest Airlines,30.61,30.61,30.05,0.41,1.36%,7.8M,16:00:09,LUV
Illinois Tool Works,265.54,265.84,262.83,1.44,0.55%,878.35K,16:00:09,ITW
Darden Restaurants,195.10,197.50,193.24,-1.75,-0.89%,1.13M,16:00:09,DRI
Truist Financial Corp,46.65,47.60,45.87,-0.88,-1.85%,5.6M,16:00:09,TFC
Halliburton,26.99,27.39,26.73,0.25,0.93%,8.29M,16:00:09,HAL
Prologis,120.90,121.63,120.18,-0.73,-0.60%,2.48M,16:00:09,PLD
McCormick&Co,79.21,79.35,78.19,0.55,0.70%,1.4M,16:00:09,MKC
Host Hotels Resorts,16.76,16.93,16.33,-0.32,-1.87%,14.54M,16:00:09,HST
Estee Lauder,71.34,72.03,70.45,-0.06,-0.08%,2.67M,16:00:09,EL
International Paper,56.06,57.09,55.28,-1.09,-1.91%,6.32M,16:00:09,IP
Emerson,124.75,124.80,122.96,0.32,0.26%,1.44M,16:00:09,EMR
Clorox,153.07,153.73,149.84,1.98,1.31%,1.38M,16:00:09,CLX
ConocoPhillips,102.00,102.09,99.20,2.43,2.44%,6.31M,16:00:09,COP
Colgate-Palmolive,87.87,88.27,86.40,0.45,0.51%,3.25M,16:00:09,CL
Pinnacle West,90.77,91.08,89.47,0.37,0.41%,733.42K,16:00:09,PNW
Regions Financial,24.06,24.58,23.86,-0.46,-1.88%,8.38M,16:00:09,RF
CenterPoint Energy,33.73,34.12,33.26,-0.36,-1.06%,5.63M,16:00:09,CNP
MetLife,82.74,83.07,81.82,-0.33,-0.40%,2.77M,16:00:09,MET
Exelon,43.17,43.23,42.46,0.52,1.22%,6.95M,16:00:09,EXC
Baxter,33.44,33.68,32.34,2.62,8.50%,10.69M,16:00:09,BAX
Occidental,52.09,52.58,50.49,1.1,2.16%,14.18M,16:00:09,OXY
Southern,87.82,89.00,84.50,1.34,1.55%,9.11M,16:00:09,SO
Tapestry,86.52,89.21,85.81,-2.69,-3.02%,5.01M,16:00:09,TPR
Lennar,122.69,123.03,120.70,1.75,1.45%,2.01M,16:00:09,LEN
Campbell Soup,39.34,39.69,38.50,0.7,1.81%,3.22M,16:00:09,CPB
State Street,99.64,100.86,97.70,-0.17,-0.17%,2.02M,16:00:09,STT
Progressive,267.67,269.23,263.98,-1.95,-0.72%,1.93M,16:00:09,PGR
Vulcan Materials,258.59,263.72,256.51,-6.38,-2.41%,708.83K,16:00:09,VMC
Parker-Hannifin,695.46,707.82,684.20,-6.09,-0.87%,576.11K,16:00:09,PH
Genuine Parts,123.27,123.83,121.71,1.2,0.98%,1.71M,16:00:09,GPC
CBRE A,141.67,143.79,140.52,-2.01,-1.40%,1.51M,16:00:09,CBRE
DuPont De Nemours,82.85,82.94,81.98,0.43,0.52%,1.64M,16:00:09,DD
Sherwin-Williams,350.02,351.25,348.44,-1.83,-0.52%,2.04M,16:00:09,SHW
Pfizer,25.90,26.08,25.75,0.01,0.04%,37.14M,16:00:09,PFE
Wells Fargo&Co,78.63,80.28,78.02,-1.72,-2.14%,14.81M,16:00:09,WFC
Walmart,97.21,100.12,96.68,-6.79,-6.53%,55.45M,16:00:09,WMT
Edison,51.90,52.68,51.48,-0.52,-0.99%,3.68M,16:00:09,ED
Snap-On,338.49,341.97,337.35,-3.85,-1.12%,263.33K,16:00:09,SNA
Equifax,241.22,244.02,239.70,-2.02,-0.83%,1.26M,16:00:09,EFX
McKesson,603.51,605.22,596.85,0.77,0.13%,611.13K,16:00:09,MCK
Entergy,85.86,87.31,85.22,-1.46,-1.67%,4.01M,16:00:09,ETR
CMS Energy,70.70,71.00,70.07,0.55,0.78%,2.15M,16:00:09,CMS
Ameriprise Financial,541.01,548.92,535.65,-8.43,-1.53%,356.79K,16:00:09,AMP
AIG,76.25,76.33,74.77,0.97,1.29%,5.04M,16:00:09,AIG
Ralph Lauren A,286.50,287.30,281.81,0.06,0.02%,661.92K,16:00:09,RL
IFF,80.14,82.03,78.91,-1.85,-2.26%,2.63M,16:00:09,IFF
WW Grainger,"1,024.30","1,027.23","1,012.89",3.26,0.32%,241.06K,16:00:09,GWW
Constellation Brands A,172.33,173.37,169.30,-0.09,-0.05%,4.45M,16:00:09,STZ
American Tower,192.38,192.97,187.02,3.82,2.03%,2.85M,16:00:09,AMT
Philip Morris,151.57,152.53,148.34,1.77,1.18%,7.43M,16:00:09,PM
Fidelity National Info,69.85,70.20,69.11,0.43,0.62%,3.77M,16:00:09,FIS
Altria,54.33,54.41,53.00,0.99,1.86%,6.73M,16:00:09,MO
Ball,50.45,50.58,49.22,1.41,2.88%,3.21M,16:00:09,BLL
Hartford,112.37,112.69,111.05,-0.57,-0.50%,1.14M,16:00:09,HIG
Hershey Co,166.10,166.80,163.00,2.2,1.34%,1.53M,16:00:09,HSY
Morgan Stanley,134.34,141.07,132.43,-6.35,-4.51%,8.86M,16:00:09,MS
PNC Financial,191.89,195.03,190.53,-2.32,-1.19%,1.77M,16:00:09,PNC
Waste Management,229.12,229.53,226.34,0.6,0.26%,1.19M,16:00:09,WM
Cencora Inc,243.46,245.24,242.15,-1.96,-0.80%,1.19M,16:00:09,COR
Assurant,200.98,202.84,199.74,0.84,0.42%,412.54K,16:00:09,AIZ
Kroger,64.39,65.33,64.14,-1.06,-1.62%,5.91M,16:00:09,KR
Molson Coors Brewing B,60.40,60.55,59.50,0.26,0.43%,1.73M,16:00:09,TAP
Home Depot,394.64,394.76,391.10,-0.79,-0.20%,2.7M,16:00:09,HD
Becton Dickinson,227.93,228.31,225.96,0.37,0.16%,1.43M,16:00:09,BDX
JM Smucker,107.30,107.47,102.80,4.28,4.15%,1.93M,16:00:09,SJM
Best Buy,90.94,91.68,90.16,-0.16,-0.18%,3.45M,16:00:09,BBY
Archer-Daniels-Midland,46.55,46.60,45.82,0.51,1.11%,2.7M,16:00:09,ADM
Brown Forman,30.98,31.22,30.64,-0.02,-0.06%,3.56M,16:00:09,BF.B
IBM,264.74,265.09,262.15,0.42,0.16%,4.88M,16:00:09,IBM
Union Pacific,247.65,247.73,245.34,0.59,0.24%,1.43M,16:00:09,UNP
Micron,103.18,104.85,102.34,-1.18,-1.13%,14.49M,16:00:09,MU
Avery Dennison,184.27,184.45,182.10,1.29,0.70%,700.04K,16:00:09,AVY
CF Industries,80.26,85.31,79.60,-3.55,-4.24%,4.67M,16:00:09,CF
APA Corp,23.62,23.63,22.99,0.03,0.13%,6.41M,16:00:09,APA
Duke Energy,113.16,113.26,111.04,1.37,1.23%,3.16M,16:00:09,DUK
KeyCorp,17.58,18.08,17.38,-0.45,-2.50%,10.34M,16:00:09,KEY
Labcorp Holdings,249.17,249.93,246.96,1.35,0.54%,494.88K,16:00:09,LH
BXP Inc,69.57,70.08,68.89,-0.32,-0.46%,1.16M,16:00:09,BXP
Western Digital,71.29,71.75,69.91,-0.21,-0.29%,4.63M,16:00:09,WDC
PPG Industries,117.89,118.11,116.06,1.1,0.94%,1.63M,16:00:09,PPG
S&P Global,535.43,542.14,532.91,-7.27,-1.34%,1.31M,16:00:09,SPGI
Williams,58.45,58.60,56.92,0.18,0.31%,6.42M,16:00:09,WMB
Elevance Health,390.50,396.22,388.66,-1.21,-0.31%,1.32M,16:00:09,ELV
Jacobs Engineering,130.13,131.24,128.71,-0.27,-0.21%,901.17K,16:00:09,J
Eastman Chemical,100.56,101.81,99.88,-0.7,-0.69%,678.93K,16:00:09,EMN
Verizon,42.49,42.53,41.88,0.48,1.14%,19.77M,16:00:09,VZ
Nucor,139.95,142.60,139.18,0.18,0.13%,1.9M,16:00:09,NUE
Omnicom,83.60,84.17,82.66,-0.08,-0.10%,2.69M,16:00:09,OMC
AvalonBay,219.38,220.25,216.54,1.81,0.83%,560.58K,16:00:09,AVB
Marriott Int,287.20,287.65,283.31,-0.36,-0.13%,1.15M,16:00:09,MAR
Ingersoll Rand,86.77,87.19,85.35,1.08,1.26%,3.18M,16:00:09,IR
Bristol-Myers Squibb,55.79,55.82,54.80,0.81,1.47%,8.95M,16:00:09,BMY
American Electric Power,104.35,104.65,102.20,1.26,1.22%,2.7M,16:00:09,AEP
Thermo Fisher Scientific,537.83,543.38,533.59,6.97,1.31%,1.97M,16:00:09,TMO
Newmont Goldcorp,48.09,48.23,47.20,0.68,1.43%,13.66M,16:00:09,NEM
Public Storage,304.06,304.58,295.42,6.63,2.23%,433.19K,16:00:09,PSA
Travelers,241.24,241.66,237.80,-1.11,-0.46%,971.79K,16:00:09,TRV
Stanley Black Decker,89.93,90.04,88.29,1.64,1.86%,1.38M,16:00:09,SWK
Franklin Resources,20.73,20.99,20.59,-0.15,-0.72%,3.57M,16:00:09,BEN
Humana,271.30,272.13,262.08,5.78,2.18%,1.04M,16:00:09,HUM
Paramount Global B,11.47,11.53,11.38,0.03,0.26%,1.79M,16:00:09,PARA
Chubb,267.49,268.08,263.14,1.05,0.39%,1.07M,16:00:09,CB
J&J,159.68,159.95,156.95,1.79,1.13%,7.22M,16:00:09,JNJ
Tyson Foods,59.11,59.22,57.38,1.51,2.62%,3.64M,16:00:09,TSN
Target,128.13,130.15,127.80,-2.62,-2.00%,6.2M,16:00:09,TGT
Jabil Circuit,166.12,169.10,164.70,-2.97,-1.76%,1.01M,16:00:09,JBL
American Express,303.86,309.96,298.69,-6.06,-1.96%,2.83M,16:00:09,AXP
Masco,76.28,76.81,75.96,-0.38,-0.50%,997.68K,16:00:09,MAS
Stryker,386.41,388.00,383.30,-2.11,-0.54%,930.27K,16:00:09,SYK
Discover,199.90,203.38,195.03,-3.35,-1.65%,1.65M,16:00:09,DFS
Prudential Financial,111.13,111.60,109.75,-0.53,-0.47%,1.55M,16:00:09,PRU
Abbott Labs,133.17,133.28,131.35,1.04,0.79%,5.05M,16:00:09,ABT
GE Aerospace,208.74,210.28,207.15,-1.76,-0.84%,2.97M,16:00:09,GE
Quest Diagnostics,172.14,172.50,170.47,0.39,0.23%,1.15M,16:00:09,DGX
United Parcel Service,116.60,116.63,114.85,1.6,1.39%,5.8M,16:00:09,UPS
CVS Health Corp,65.09,66.31,64.99,-1.31,-1.97%,8.45M,16:00:09,CVS
PPL,34.15,34.49,34.00,-0.24,-0.70%,5.03M,16:00:09,PPL
Simon Property,186.71,187.49,185.43,0.78,0.42%,940.65K,16:00:09,SPG
Johnson Controls,88.83,90.45,88.48,-1.62,-1.79%,3.64M,16:00:09,JCI
Cummins,384.39,386.77,380.87,-1.68,-0.44%,641.24K,16:00:09,CMI
Allstate,189.18,190.49,185.60,-2.42,-1.26%,1.38M,16:00:09,ALL
Sempra Energy,86.01,86.33,84.17,0.67,0.79%,2.29M,16:00:09,SRE
Devon Energy,38.55,38.88,37.71,0.98,2.61%,11.38M,16:00:09,DVN
Conagra Brands,24.84,24.86,24.21,0.55,2.26%,4.1M,16:00:09,CAG
TJX,122.98,123.38,121.95,-0.44,-0.36%,4.66M,16:00:09,TJX
FirstEnergy,41.38,41.44,40.41,0.72,1.77%,4.48M,16:00:09,FE
Globe Life,124.27,125.43,122.92,0.25,0.20%,523.62K,16:00:09,GL
Rtx Corp,125.11,125.31,123.19,-0.3,-0.24%,3.13M,16:00:09,RTX
PulteGroup,105.84,106.07,103.97,0.98,0.93%,1.69M,16:00:09,PHM
Valero Energy,139.14,139.88,135.45,1.99,1.45%,2.54M,16:00:09,VLO
Boston Scientific,105.36,105.48,104.35,-0.31,-0.29%,5.98M,16:00:09,BSX
Capital One Financial,205.37,210.67,200.88,-4.45,-2.12%,3.98M,16:00:09,COF
PG E,15.69,15.82,15.60,0.03,0.19%,13.66M,16:00:09,PCG
Norfolk Southern,249.41,249.78,246.23,0.36,0.14%,1.21M,16:00:09,NSC
Aflac,104.28,104.44,103.31,-0.23,-0.22%,1.43M,16:00:09,AFL
Equity Residential,71.66,71.90,70.71,0.54,0.76%,1.11M,16:00:09,EQR
Air Products,314.28,317.70,313.46,-2.77,-0.87%,1.07M,16:00:09,APD
Principal Financial,86.56,86.85,85.56,0.37,0.43%,2.08M,16:00:09,PFG
Texas Instruments,203.96,204.26,197.91,7.64,3.89%,9.19M,16:00:09,TXN
HP Inc,34.72,34.90,34.38,0.04,0.12%,5.01M,16:00:09,HPQ
Honeywell,211.35,211.50,208.87,0.54,0.26%,3.64M,16:00:09,HON
AMD,114.17,116.55,113.11,-0.52,-0.45%,27.22M,16:00:09,AMD
M&T Bank,197.45,199.89,195.43,-1.78,-0.89%,1.24M,16:00:09,MTB
Mosaic,26.62,27.43,26.14,-0.51,-1.88%,5.76M,16:00:09,MOS
Revvity,114.72,116.86,113.77,-0.29,-0.25%,1.24M,16:00:09,RVTY
Las Vegas Sands,44.97,44.99,44.02,0.93,2.11%,4.19M,16:00:09,LVS
Freeport-McMoran,38.96,39.63,38.59,0.39,1.01%,11.47M,16:00:09,FCX
